name,tcp_packets,dist_port_tcp,external_ips,volume_bytes,udp_packets,tcp_urg_packet,source_app_packets,remote_app_packets,source_app_bytes,remote_app_bytes,duracion,avg_local_pkt_rate,avg_remote_pkt_rate,source_app_packets.1,dns_query_times,type,date
1-AntiVirus,36,6.0,3.0,3911,0.0,0.0,39,33,5100,4140,,,,39,3,benign,23/06/2023
AntiVirus,117,0.0,9.0,23514,0.0,0.0,128,107,26248,24358,,,,128,11,benign,24/06/2023
AntiVirus,196,0.0,6.0,24151,0.0,0.0,205,214,163887,24867,,,,205,9,benign,25/06/2023
1-AntiVirus,6,0.0,1.0,889,0.0,0.0,7,6,819,975,,,,7,1,benign,26/06/2023
AntiVirus,6,0.0,,882,0.0,0.0,7,6,819,968,,,,7,1,benign,27/06/2023
AntiVirus,54,54.0,3.0,5062,0.0,0.0,63,54,5457,5719,,,,63,9,benign,28/06/2023
AntiVirus,6,0.0,1.0,889,0.0,0.0,7,6,819,975,,,,7,1,benign,29/06/2023
AntiVirus,6,,1.0,1154,0.0,0.0,7,6,593,1228,,,,7,1,benign,30/06/2023
AntiVirus,6,,1.0,888,0.0,0.0,7,6,819,974,,,,7,1,benign,01/07/2023
AntiVirus,196,,3.0,16110,0.0,0.0,200,264,300472,16410,,,,200,4,benign,02/07/2023
AntiVirus,226,,,34063,0.0,0.0,240,249,187514,35139,,,,240,14,benign,03/07/2023
AntiVirus,6,,1.0,888,0.0,0.0,7,6,819,974,,,,7,1,benign,04/07/2023
AntiVirus,6,,1.0,1308,0.0,0.0,7,7,1947,1383,,,,7,1,benign,05/07/2023
AntiVirus,18,,2.0,2932,0.0,0.0,21,19,2114,3149,,,,21,3,benign,06/07/2023
AntiVirus,100,,7.0,22088,0.0,0.0,109,92,19306,22780,,,,109,9,benign,07/07/2023
AntiVirus,195,,7.0,23438,0.0,0.0,205,220,185803,24230,,,,205,10,benign,08/07/2023
AntiVirus,36,,3.0,4969,0.0,0.0,40,68,37011,5268,,,,40,4,benign,09/07/2023
AntiVirus,119,,5.0,13060,0.0,0.0,123,156,155792,13373,,,,123,4,benign,10/07/2023
AntiVirus,6,,1.0,1126,0.0,0.0,7,7,815,1200,,,,7,1,benign,11/07/2023
AntiVirus,177,,5.0,22538,0.0,0.0,186,221,165882,23254,,,,186,9,benign,12/07/2023
AntiVirus,191,,6.0,24128,0.0,0.0,200,218,158844,24844,,,,200,9,benign,13/07/2023
AntiVirus,148,,6.0,20614,0.0,0.0,157,184,155057,21330,,,,157,9,benign,14/07/2023
AntiVirus,92,,6.0,23002,0.0,0.0,101,92,25338,23704,,,,101,9,benign,15/07/2023
AntiVirus,166,,6.0,20255,0.0,0.0,177,215,163700,21131,,,,177,11,benign,16/07/2023
AntiVirus,6,,1.0,888,0.0,0.0,7,6,819,974,,,,7,1,benign,17/07/2023
AntiVirus,159,0.0,6.0,21484,0.0,0.0,168,183,154831,22200,,,,168,9,benign,18/07/2023
AntiVirus,241,0.0,11.0,35001,0.0,0.0,258,259,188369,36338,,,,258,17,benign,19/07/2023
AntiVirus,6,0.0,1.0,444,0.0,0.0,7,1,234,519,,,,7,1,benign,20/07/2023
AntiVirus,212,0.0,6.0,23833,0.0,0.0,226,232,187617,24973,,,,226,14,benign,21/07/2023
AntiVirus,213,0.0,7.0,25104,0.0,0.0,223,236,186473,25896,,,,223,10,benign,22/07/2023
AntiVirus,6,0.0,1.0,1162,0.0,0.0,7,7,647,1236,,,,7,1,benign,23/07/2023
AntiVirus,151,2.0,5.0,14338,0.0,0.0,155,168,191275,14646,,,,155,4,benign,24/07/2023
AntiVirus,6,0.0,1.0,883,0.0,0.0,7,6,819,969,,,,7,1,benign,25/07/2023
AntiVirus,314,0.0,4.0,23215,0.0,0.0,318,528,732022,23523,,,,318,4,benign,26/07/2023
AntiVirus,86,0.0,8.0,20179,0.0,0.0,95,81,18246,20871,,,,95,9,benign,27/07/2023
AntiVirus,33,0.0,1.0,4502,0.0,0.0,34,29,2888,4580,,,,34,1,benign,28/07/2023
AntiVirus,95,0.0,9.0,22495,0.0,0.0,105,90,20823,23268,,,,105,10,benign,29/07/2023
AntiVirus,27,6.0,4.0,4731,0.0,0.0,32,27,3888,5134,,,,32,5,benign,30/07/2023
AntiVirus,111,0.0,3.0,11658,0.0,0.0,114,158,165187,11893,,,,114,3,benign,31/07/2023
AntiVirus,13,6.0,2.0,1769,0.0,0.0,15,13,1654,1917,,,,15,2,benign,01/08/2023
AntiVirus,18,18.0,1.0,1686,0.0,0.0,23,20,2106,2057,,,,23,5,benign,02/08/2023
AntiVirus,12,0.0,2.0,888,0.0,0.0,14,2,481,1051,,,,14,2,benign,03/08/2023
AntiVirus,181,0.0,5.0,21351,0.0,0.0,190,203,180799,22062,,,,190,9,benign,04/08/2023
AntiVirus,186,0.0,7.0,21965,0.0,0.0,196,209,181591,22757,,,,196,10,benign,05/08/2023
AntiVirus,3280,0.0,3.0,1019239,0.0,0.0,3283,3286,439496,1019455,,,,3283,3,benign,06/08/2023
AntiVirus,6,0.0,1.0,444,0.0,0.0,7,1,170,519,,,,7,1,benign,07/08/2023
AntiVirus,190,0.0,6.0,23136,0.0,0.0,200,209,164077,23939,,,,200,10,benign,08/08/2023
AntiVirus,173,0.0,5.0,22157,0.0,0.0,183,200,156058,22960,,,,183,10,benign,09/08/2023
AntiVirus,2,2.0,1.0,148,0.0,0.0,2,0,0,148,,,,2,0,benign,10/08/2023
AntiVirus,166,0.0,5.0,20650,0.0,0.0,175,192,155362,21366,,,,175,9,benign,11/08/2023
AntiVirus,42,0.0,1.0,7063,0.0,0.0,43,29,4090,7133,,,,43,1,benign,12/08/2023
AntiVirus,6,0.0,1.0,887,0.0,0.0,7,6,819,973,,,,7,1,benign,13/08/2023
AntiVirus,318,0.0,2.0,24251,0.0,0.0,323,443,434362,24622,,,,323,5,benign,14/08/2023
AntiVirus,198,0.0,6.0,24172,0.0,0.0,209,227,186049,25051,,,,209,11,benign,15/08/2023
AntiVirus,107,2.0,4.0,10322,0.0,0.0,110,116,132400,10549,,,,110,3,benign,16/08/2023
AntiVirus,210,0.0,7.0,24369,0.0,0.0,223,230,186416,25422,,,,223,13,benign,17/08/2023
AntiVirus,291,0.0,4.0,21121,0.0,0.0,295,505,692746,21429,,,,295,4,benign,18/08/2023
AntiVirus,102,0.0,7.0,22973,0.0,0.0,112,96,20301,23762,,,,112,10,benign,19/08/2023
AntiVirus,91,0.0,8.0,22054,0.0,0.0,102,88,19091,22914,,,,102,11,benign,20/08/2023
AntiVirus,36,6.0,3.0,3911,0.0,0.0,39,33,5067,4140,,,,39,3,benign,21/08/2023
AntiVirus,6,0.0,1.0,805,0.0,0.0,7,6,1381,874,,,,7,1,benign,22/08/2023
AntiVirus,13,6.0,2.0,1769,0.0,0.0,15,13,1654,1917,,,,15,2,benign,23/08/2023
AntiVirus,45,18.0,2.0,10164,0.0,0.0,49,45,6089,10463,,,,49,4,benign,24/08/2023
AntiVirus,202,0.0,6.0,25041,0.0,0.0,212,223,190721,25833,,,,212,10,benign,25/08/2023
AntiVirus,6,0.0,1.0,1307,0.0,0.0,7,7,1947,1382,,,,7,1,benign,26/08/2023
AntiVirus,308,0.0,4.0,22869,0.0,0.0,312,527,725128,23177,,,,312,4,benign,27/08/2023
AntiVirus,100,0.0,7.0,23436,0.0,0.0,109,98,20859,24138,,,,109,9,benign,28/08/2023
AntiVirus,120,0.0,7.0,23738,0.0,0.0,132,109,22314,24701,,,,132,12,benign,29/08/2023
AntiVirus,109,0.0,8.0,22885,0.0,0.0,118,98,21221,23587,,,,118,9,benign,30/08/2023
AntiVirus,13,0.0,2.0,2079,0.0,0.0,15,14,1771,2227,,,,15,2,benign,31/08/2023
AntiVirus,358,0.0,5.0,28824,0.0,0.0,367,455,564330,29482,,,,367,9,benign,01/09/2023
AntiVirus,12,0.0,2.0,888,0.0,0.0,14,2,353,1051,,,,14,2,benign,02/09/2023
AntiVirus,107,0.0,8.0,22821,0.0,0.0,116,98,20250,23523,,,,116,9,benign,03/09/2023
AntiVirus,103,0.0,9.0,22150,0.0,0.0,113,95,19622,22923,,,,113,10,benign,04/09/2023
AntiVirus,134,0.0,7.0,22786,0.0,0.0,141,185,170165,23308,,,,141,7,benign,05/09/2023
AntiVirus,94,0.0,7.0,22006,0.0,0.0,104,93,21295,22779,,,,104,10,benign,06/09/2023
AntiVirus,0,0.0,1.0,90,1.0,0.0,2,1,542,162,,,,2,1,benign,07/09/2023
AntiVirus,107,0.0,7.0,23992,0.0,0.0,118,105,22248,24836,,,,118,11,benign,08/09/2023
AntiVirus,91,0.0,7.0,21091,0.0,0.0,100,89,18734,21793,,,,100,9,benign,09/09/2023
AntiVirus,100,0.0,8.0,21936,0.0,0.0,109,92,19189,22638,,,,109,9,benign,10/09/2023
AntiVirus,13,0.0,2.0,2181,0.0,0.0,15,14,1663,2329,,,,15,2,benign,11/09/2023
AntiVirus,53,0.0,5.0,5766,0.0,0.0,59,69,34148,6236,,,,59,6,benign,12/09/2023
AntiVirus,104,0.0,10.0,22059,0.0,0.0,117,99,22499,23077,,,,117,13,benign,13/09/2023
AntiVirus,94,0.0,9.0,21810,0.0,0.0,105,94,19992,22654,,,,105,11,benign,14/09/2023
AntiVirus,42,0.0,1.0,7021,0.0,0.0,43,29,3994,7091,,,,43,1,benign,15/09/2023
AntiVirus,94,0.0,3.0,9774,0.0,0.0,97,208,282117,9998,,,,97,3,benign,16/09/2023
AntiVirus,100,0.0,9.0,22239,0.0,0.0,111,95,19869,23083,,,,111,11,benign,17/09/2023
AntiVirus,6,0.0,1.0,1013,0.0,0.0,7,7,1077,1085,,,,7,1,benign,18/09/2023
AntiVirus,97,0.0,7.0,23360,0.0,0.0,106,94,19478,24062,,,,106,9,benign,19/09/2023
AntiVirus,252,0.0,2.0,20079,0.0,0.0,257,408,418034,20450,,,,257,5,benign,20/09/2023
AntiVirus,114,0.0,9.0,23586,0.0,0.0,127,106,22567,24604,,,,127,13,benign,21/09/2023
AntiVirus,96,0.0,9.0,21917,0.0,0.0,108,96,20202,22848,,,,108,12,benign,22/09/2023
AntiVirus,6,0.0,1.0,444,0.0,0.0,7,1,228,532,,,,7,1,benign,23/09/2023
AntiVirus,38,0.0,2.0,6865,0.0,0.0,40,37,5814,7015,,,,40,2,benign,24/09/2023
AntiVirus,36,6.0,3.0,3911,0.0,0.0,39,33,5100,4140,,,,39,3,benign,25/09/2023
AntiVirus,92,0.0,8.0,21675,0.0,0.0,103,92,21238,22535,,,,103,11,benign,26/09/2023
